month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202304,Maryland,MD,420000,0.0182,0.1053,6586,0.0164,0.1063,38,-0.1163,0.2667,7364,0.1474,-0.2405,588,-0.1429,-0.4235,1988,0.0174,0.0574,8583,0.0919,-0.2277,219,0.0036,0.0302,1906,0.0176,0.0618,587407,0.0535,0.131,15073,0.0511,-0.1259,1.3032,0.0902,-0.5637,0
202304,New Mexico,NM,375000,0.0038,0.087,3407,0.0194,0.2412,65,-0.1586,0.5116,1964,-0.002,-0.2376,100,0.1905,-0.1379,728,0.037,0.569,1961,0.0684,-0.3083,191,0.0149,0.1112,1993,0.0082,0.0066,568869,0.0127,0.0639,5350,0.036,-0.0346,0.5756,0.0264,-0.4572,0
202304,Nebraska,NE,371900,0.0014,0.2397,2836,0.024,0.5077,52,-0.0957,0.3684,2208,0.182,-0.1798,100,-0.4505,-0.2857,520,0.2381,0.7105,2967,0.1583,-0.2689,174,-0.0045,0.116,2213,0.0055,0.1199,424793,0.011,0.1301,5787,0.0863,-0.0113,1.0462,0.1213,-1.1112,1
202304,Mississippi,MS,279900,0.0032,0.0976,5048,0.0018,0.5523,62,-0.0677,0.4419,2508,-0.0649,-0.191,140,1.4138,0.129,1528,0.067,1.0105,3558,0.1157,-0.2187,132,0.0035,0.0995,2023,0.0047,0.0007,337712,0.0096,-0.0223,8578,0.049,0.1051,0.7048,0.072,-0.6955,0
202304,Michigan,MI,280000,0.0487,0.0811,12680,0.0039,0.1994,44,-0.1927,0.4194,11548,0.2865,-0.1666,228,-0.2919,-0.3049,3288,0.0866,0.2627,7106,0.0531,-0.2434,169,0.0298,0.0374,1603,0.0199,0.0276,411831,0.0475,0.0486,19773,0.0219,-0.0067,0.5604,0.0261,-0.328,0
202304,South Carolina,SC,359925,0.0117,0.034,13190,-0.0167,0.985,48,-0.0857,0.6552,8592,-0.0069,-0.1439,1032,0.1121,-0.0947,4356,-0.074,1.3623,10811,0.0571,-0.204,191,0.0107,0.0538,1987,0.0009,0.0245,550955,0.0114,0.0083,23997,0.0169,0.1809,0.8196,0.0572,-1.2243,1
202304,Connecticut,CT,559900,-0.0089,0.2043,3465,0.0609,-0.0936,34,-0.1807,0.5455,3544,0.228,-0.2935,64,-0.2381,-0.4286,644,0.1027,-0.0062,5219,0.1105,-0.3292,256,-0.0064,0.0354,2184,0.0062,0.1812,1291363,-0.0179,0.1403,8666,0.0884,-0.2431,1.5062,0.0673,-0.5288,0
202304,Alabama,AL,330000,0.0234,0.1004,10988,0.0056,0.5806,53,-0.0862,0.6563,6512,0.0143,-0.1996,504,0.0161,-0.1429,3100,0.0039,0.7981,5868,0.0751,-0.1656,160,0.0219,0.1152,1994,0.0091,0.0122,431949,0.0254,0.0412,16823,0.0293,0.1999,0.534,0.0345,-0.4776,0
202304,New York,NY,639945,0.0206,0.0666,30996,0.0295,0.0276,65,-0.1391,0.2745,15056,0.103,-0.2173,392,-0.0968,-0.3194,4888,0.0819,0.0534,17434,0.1039,-0.1916,396,0.0363,0.0162,1560,0.0048,0.04,1513176,0.0224,0.0782,48138,0.0553,-0.0786,0.5625,0.0379,-0.1525,0
202304,Alaska,AK,415000,0.0392,0.0375,992,0.0672,0.1059,44,-0.2446,0.913,800,0.0309,-0.2982,20,2.3333,-0.5,192,0.1034,0,69,0.2212,-0.3235,240,0.018,0.0731,1850,0.0165,0.0266,485675,-0.0007,0.0205,1072,0.0883,0.0763,0.0696,0.0088,-0.0442,0
202304,Indiana,IN,299900,0.0411,0.1535,7716,-0.0055,0.4504,43,-0.1313,0.4333,8316,0.2045,-0.1062,208,0.1064,-0.4222,2864,-0.0219,0.6927,5655,0.081,-0.1394,150,0.0163,0.0765,1963,0.015,0.0668,385836,0.0491,0.0857,13355,0.0305,0.1243,0.7329,0.0586,-0.5023,0
202304,Maine,ME,425000,0.0379,0.1155,1921,0.0412,0.1394,50,-0.4872,0.7857,1436,0.2753,-0.2658,20,-0.2308,-0.1667,300,0.1278,0.2931,553,0.1816,-0.144,258,0.0368,0.1279,1700,0.0174,0.0303,658401,0.0439,0.1946,2480,0.0703,0.0801,0.2879,0.0342,-0.0953,0
